cand_id,state_abb,district_number,election_year,republican,contestant_id,ideology_score,primary_vote
cand_390,IN,2,1994,1,contestant_2,0.31501784920692444,0.42207637429237366
cand_391,IN,2,2000,1,contestant_1,0.1925402581691742,0.44483375549316406
cand_392,IN,2,2000,1,contestant_2,0.13057661056518555,0.23940062522888184
cand_393,IN,4,2002,1,contestant_1,0.11391250044107437,0.5461111664772034
cand_394,IN,4,2002,1,contestant_2,0.17442992329597473,0.29924219846725464
cand_395,IN,4,2010,1,contestant_1,0.2029770165681839,0.42362016439437866
cand_396,IN,4,2010,1,contestant_2,0.1546647548675537,0.17116530239582062
cand_397,IN,5,1986,1,contestant_1,0.2955526113510132,0.4967260956764221
cand_398,IN,5,1986,1,contestant_2,0.10764111578464508,0.38582393527030945
cand_399,IN,6,1982,1,contestant_1,0.1218261867761612,0.3282102644443512
cand_400,IN,6,1982,1,contestant_2,0.1801082342863083,0.25518208742141724
cand_401,IN,7,1996,1,contestant_1,0.11934177577495575,0.2972572147846222
cand_402,IN,7,1996,1,contestant_2,0.1809052973985672,0.145454540848732
cand_403,IN,8,1996,0,contestant_1,-0.3134969472885132,0.4067170321941376
cand_404,IN,8,1996,0,contestant_2,-0.31226515769958496,0.38501259684562683
cand_405,IN,8,2000,0,contestant_1,-0.23334290087223053,0.5733047127723694
cand_406,IN,8,2000,0,contestant_2,-0.2814892530441284,0.38097238540649414
cand_407,IN,10,1982,0,contestant_1,-0.2317119538784027,0.5928844809532166
cand_408,IN,10,1982,0,contestant_2,-0.07139939069747925,0.34098196029663086
cand_409,IN,10,1996,1,contestant_1,0.1443716138601303,0.50592803955078125
cand_410,IN,10,1996,1,contestant_2,0.40966854989528656,0.40086793899536133
cand_411,KS,2,2008,1,contestant_1,0.2035534530878067,0.5097554922103882
cand_412,KS,2,2008,1,contestant_2,0.24364499747753143,0.49024447798728943
cand_413,KS,3,1984,1,contestant_1,0.11394339799880981,0.3540661931037903
cand_414,KS,3,1984,1,contestant_2,0.1496928632259369,0.2809629738330841
cand_415,KS,3,1996,1,contestant_1,0.25846120715141296,0.43744853138923645
cand_416,KS,3,1996,1,contestant_2,0.1514696478843689,0.39713865518569946
cand_417,KS,3,2000,1,contestant_1,0.42729634046554565,0.49898242950439453
cand_418,KS,3,2000,1,contestant_2,0.19664178788661957,0.37474215030670166
